mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat,model,year
10.348,0.05,10.256,10.44,0.001,0.0,5659.0,3276.0,1.0,gamma_gml3,2010
10.546,0.107,10.353,10.752,0.002,0.001,4893.0,3106.0,1.0,gamma_gml3,2010
10.698,0.053,10.601,10.801,0.001,0.001,5196.0,2909.0,1.0,gamma_gml3,2010
11.103,0.037,11.032,11.17,0.001,0.0,5334.0,2804.0,1.0,gamma_gml3,2010
11.314,0.026,11.262,11.36,0.0,0.0,5177.0,3022.0,1.0,gamma_gml3,2010
11.205,0.032,11.149,11.266,0.0,0.0,5272.0,3072.0,1.0,gamma_gml3,2010
11.358,0.073,11.23,11.501,0.001,0.001,4663.0,2460.0,1.0,gamma_gml3,2010
11.079,0.023,11.033,11.122,0.0,0.0,5392.0,2848.0,1.0,gamma_gml3,2010
11.164,0.043,11.08,11.242,0.001,0.0,5338.0,2862.0,1.0,gamma_gml3,2010
11.295,0.022,11.251,11.335,0.0,0.0,5596.0,2925.0,1.0,gamma_gml3,2010
11.037,0.05,10.94,11.125,0.001,0.0,5085.0,3158.0,1.0,gamma_gml3,2010
11.286,0.037,11.22,11.356,0.001,0.0,4822.0,3003.0,1.0,gamma_gml3,2010
11.438,0.027,11.389,11.491,0.0,0.0,5377.0,2825.0,1.0,gamma_gml3,2010
10.898,0.022,10.858,10.941,0.0,0.0,4468.0,2715.0,1.0,gamma_gml3,2010
11.117,0.037,11.052,11.186,0.001,0.0,5060.0,3155.0,1.0,gamma_gml3,2010
11.553,0.065,11.424,11.667,0.001,0.001,5207.0,2933.0,1.0,gamma_gml3,2010
3.198,0.065,3.079,3.32,0.001,0.001,5356.0,3354.0,1.0,gamma_gml3,2010
