id_run,model_name,model_def,variable,type,element,dims,level
1,bw_all_vars,bw_all_vars,avg_salary,parameter,intercept,industry,1
1,bw_all_vars,bw_all_vars,elementary_edu,parameter,slope,industry,1
1,bw_all_vars,bw_all_vars,highschool_edu,parameter,slope,industry,1
1,bw_all_vars,bw_all_vars,postsec_edu,parameter,slope,industry,1
1,bw_all_vars,bw_all_vars,undergrad_edu,parameter,slope,industry,1
1,bw_all_vars,bw_all_vars,graduate_edu,parameter,slope,industry,1
1,bw_all_vars,bw_all_vars,grad_highschool_refyear,parameter,slope,industry,1
1,bw_all_vars,bw_all_vars,grad_college_refyear,parameter,slope,industry,1
1,bw_all_vars,bw_all_vars,grad_univ_refyear,parameter,slope,industry,1
1,bw_all_vars,bw_all_vars,student_status,parameter,slope,industry,1
1,bw_all_vars,bw_all_vars,public_sector,parameter,slope,industry,1
1,bw_all_vars,bw_all_vars,self_emp,parameter,slope,industry,1
1,bw_all_vars,bw_all_vars,union,parameter,slope,industry,1
1,bw_all_vars,bw_all_vars,part_time,parameter,slope,industry,1
1,bw_all_vars,bw_all_vars,exp,parameter,slope,industry,1
1,bw_all_vars,bw_all_vars,tenure,parameter,slope,industry,1
1,bw_all_vars,bw_all_vars,sex,parameter,slope,industry,1
1,bw_all_vars,bw_all_vars,age,parameter,slope,industry,1
1,bw_all_vars,bw_all_vars,firm_size,parameter,slope,industry,1
1,bw_all_vars,bw_all_vars,loc_size,parameter,slope,industry,1
1,bw_all_vars,bw_all_vars,salary,target,target,obs,
1,bw_all_vars,bw_all_vars,industry,dimension,dimension,industry,
2,bw_no_firm_size,bw_no_firm_size,avg_salary,parameter,intercept,industry,1
2,bw_no_firm_size,bw_no_firm_size,elementary_edu,parameter,slope,industry,1
2,bw_no_firm_size,bw_no_firm_size,highschool_edu,parameter,slope,industry,1
2,bw_no_firm_size,bw_no_firm_size,postsec_edu,parameter,slope,industry,1
2,bw_no_firm_size,bw_no_firm_size,undergrad_edu,parameter,slope,industry,1
2,bw_no_firm_size,bw_no_firm_size,graduate_edu,parameter,slope,industry,1
2,bw_no_firm_size,bw_no_firm_size,grad_highschool_refyear,parameter,slope,industry,1
2,bw_no_firm_size,bw_no_firm_size,grad_college_refyear,parameter,slope,industry,1
2,bw_no_firm_size,bw_no_firm_size,grad_univ_refyear,parameter,slope,industry,1
2,bw_no_firm_size,bw_no_firm_size,student_status,parameter,slope,industry,1
2,bw_no_firm_size,bw_no_firm_size,public_sector,parameter,slope,industry,1
2,bw_no_firm_size,bw_no_firm_size,self_emp,parameter,slope,industry,1
2,bw_no_firm_size,bw_no_firm_size,union,parameter,slope,industry,1
2,bw_no_firm_size,bw_no_firm_size,part_time,parameter,slope,industry,1
2,bw_no_firm_size,bw_no_firm_size,exp,parameter,slope,industry,1
2,bw_no_firm_size,bw_no_firm_size,tenure,parameter,slope,industry,1
2,bw_no_firm_size,bw_no_firm_size,sex,parameter,slope,industry,1
2,bw_no_firm_size,bw_no_firm_size,age,parameter,slope,industry,1
2,bw_no_firm_size,bw_no_firm_size,salary,target,target,obs,
2,bw_no_firm_size,bw_no_firm_size,industry,dimension,dimension,industry,
3,bw_no_gradrefyear,bw_no_gradrefyear,avg_salary,parameter,intercept,industry,1
3,bw_no_gradrefyear,bw_no_gradrefyear,elementary_edu,parameter,slope,industry,1
3,bw_no_gradrefyear,bw_no_gradrefyear,highschool_edu,parameter,slope,industry,1
3,bw_no_gradrefyear,bw_no_gradrefyear,postsec_edu,parameter,slope,industry,1
3,bw_no_gradrefyear,bw_no_gradrefyear,undergrad_edu,parameter,slope,industry,1
3,bw_no_gradrefyear,bw_no_gradrefyear,graduate_edu,parameter,slope,industry,1
3,bw_no_gradrefyear,bw_no_gradrefyear,student_status,parameter,slope,industry,1
3,bw_no_gradrefyear,bw_no_gradrefyear,public_sector,parameter,slope,industry,1
3,bw_no_gradrefyear,bw_no_gradrefyear,self_emp,parameter,slope,industry,1
3,bw_no_gradrefyear,bw_no_gradrefyear,union,parameter,slope,industry,1
3,bw_no_gradrefyear,bw_no_gradrefyear,part_time,parameter,slope,industry,1
3,bw_no_gradrefyear,bw_no_gradrefyear,exp,parameter,slope,industry,1
3,bw_no_gradrefyear,bw_no_gradrefyear,tenure,parameter,slope,industry,1
3,bw_no_gradrefyear,bw_no_gradrefyear,sex,parameter,slope,industry,1
3,bw_no_gradrefyear,bw_no_gradrefyear,age,parameter,slope,industry,1
3,bw_no_gradrefyear,bw_no_gradrefyear,salary,target,target,obs,
3,bw_no_gradrefyear,bw_no_gradrefyear,industry,dimension,dimension,industry,
4,bw_no_age,bw_no_age,avg_salary,parameter,intercept,industry,1
4,bw_no_age,bw_no_age,elementary_edu,parameter,slope,industry,1
4,bw_no_age,bw_no_age,highschool_edu,parameter,slope,industry,1
4,bw_no_age,bw_no_age,postsec_edu,parameter,slope,industry,1
4,bw_no_age,bw_no_age,undergrad_edu,parameter,slope,industry,1
4,bw_no_age,bw_no_age,graduate_edu,parameter,slope,industry,1
