id_run,model_name,model_def,variable,type,element,dims,level
1,fw_initial,fw_initial,avg_salary_ind,parameter,intercept,industry,1
1,fw_initial,fw_initial,avg_salary_occ,parameter,intercept,occup,1
1,fw_initial,fw_initial,elementary_edu,parameter,slope,industry,2
1,fw_initial,fw_initial,highschool_edu,parameter,slope,industry,2
1,fw_initial,fw_initial,postsec_edu,parameter,slope,industry,2
1,fw_initial,fw_initial,undergrad_edu,parameter,slope,industry,2
1,fw_initial,fw_initial,graduate_edu,parameter,slope,industry,2
1,fw_initial,fw_initial,salary,target,target,obs,
1,fw_initial,fw_initial,industry,dimension,dimension,industry,
1,fw_initial,fw_initial,occup,dimension,dimension,occup,
2,fw_r1_grad_ref_year,fw_r1_grad_ref_year,avg_salary_ind,parameter,intercept,industry,1
2,fw_r1_grad_ref_year,fw_r1_grad_ref_year,avg_salary_occ,parameter,intercept,occup,1
2,fw_r1_grad_ref_year,fw_r1_grad_ref_year,elementary_edu,parameter,slope,industry,2
2,fw_r1_grad_ref_year,fw_r1_grad_ref_year,highschool_edu,parameter,slope,industry,2
2,fw_r1_grad_ref_year,fw_r1_grad_ref_year,postsec_edu,parameter,slope,industry,2
2,fw_r1_grad_ref_year,fw_r1_grad_ref_year,undergrad_edu,parameter,slope,industry,2
2,fw_r1_grad_ref_year,fw_r1_grad_ref_year,graduate_edu,parameter,slope,industry,2
2,fw_r1_grad_ref_year,fw_r1_grad_ref_year,grad_highschool_refyear,parameter,slope,industry,2
2,fw_r1_grad_ref_year,fw_r1_grad_ref_year,grad_college_refyear,parameter,slope,industry,2
2,fw_r1_grad_ref_year,fw_r1_grad_ref_year,grad_univ_refyear,parameter,slope,industry,2
2,fw_r1_grad_ref_year,fw_r1_grad_ref_year,salary,target,target,obs,
2,fw_r1_grad_ref_year,fw_r1_grad_ref_year,industry,dimension,dimension,industry,
2,fw_r1_grad_ref_year,fw_r1_grad_ref_year,occup,dimension,dimension,occup,
3,fw_r2_student_status,fw_r2_student_status,avg_salary_ind,parameter,intercept,industry,1
3,fw_r2_student_status,fw_r2_student_status,avg_salary_occ,parameter,intercept,occup,1
3,fw_r2_student_status,fw_r2_student_status,elementary_edu,parameter,slope,industry,2
3,fw_r2_student_status,fw_r2_student_status,highschool_edu,parameter,slope,industry,2
3,fw_r2_student_status,fw_r2_student_status,postsec_edu,parameter,slope,industry,2
3,fw_r2_student_status,fw_r2_student_status,undergrad_edu,parameter,slope,industry,2
3,fw_r2_student_status,fw_r2_student_status,graduate_edu,parameter,slope,industry,2
3,fw_r2_student_status,fw_r2_student_status,grad_highschool_refyear,parameter,slope,industry,2
3,fw_r2_student_status,fw_r2_student_status,grad_college_refyear,parameter,slope,industry,2
3,fw_r2_student_status,fw_r2_student_status,grad_univ_refyear,parameter,slope,industry,2
3,fw_r2_student_status,fw_r2_student_status,student_status,parameter,slope,industry,2
3,fw_r2_student_status,fw_r2_student_status,salary,target,target,obs,
3,fw_r2_student_status,fw_r2_student_status,industry,dimension,dimension,industry,
3,fw_r2_student_status,fw_r2_student_status,occup,dimension,dimension,occup,
4,fw_r3_pub_sector,fw_r3_pub_sector,avg_salary_ind,parameter,intercept,industry,1
4,fw_r3_pub_sector,fw_r3_pub_sector,avg_salary_occ,parameter,intercept,occup,1
4,fw_r3_pub_sector,fw_r3_pub_sector,elementary_edu,parameter,slope,industry,2
4,fw_r3_pub_sector,fw_r3_pub_sector,highschool_edu,parameter,slope,industry,2
4,fw_r3_pub_sector,fw_r3_pub_sector,postsec_edu,parameter,slope,industry,2
4,fw_r3_pub_sector,fw_r3_pub_sector,undergrad_edu,parameter,slope,industry,2
4,fw_r3_pub_sector,fw_r3_pub_sector,graduate_edu,parameter,slope,industry,2
4,fw_r3_pub_sector,fw_r3_pub_sector,grad_highschool_refyear,parameter,slope,industry,2
4,fw_r3_pub_sector,fw_r3_pub_sector,grad_college_refyear,parameter,slope,industry,2
4,fw_r3_pub_sector,fw_r3_pub_sector,grad_univ_refyear,parameter,slope,industry,2
4,fw_r3_pub_sector,fw_r3_pub_sector,student_status,parameter,slope,industry,2
4,fw_r3_pub_sector,fw_r3_pub_sector,public_sector,parameter,slope,industry,2
4,fw_r3_pub_sector,fw_r3_pub_sector,salary,target,target,obs,
4,fw_r3_pub_sector,fw_r3_pub_sector,industry,dimension,dimension,industry,
