,ind,occ,union,public_sector,multiple_jobs,salary,ptm,gender,self
0,construction,middle management,0,0,0,54352.89115646259,0,0,0
1,"information, culture and recreation",other trades,1,1,0,41096.08843537415,1,0,0
2,trade,"wholesale, technical, insurance, real estate sales specialists",0,0,0,79540.81632653062,0,0,0
3,transportation and warehousing,transport and equipment operators,1,0,0,19222.363945578232,0,1,0
4,health care and social assistance,"occupations in social science, government service and religion",1,0,0,39770.40816326531,0,1,0
5,accommodation and food services,"chefs and cooks, food and beverage service",0,0,1,41096.08843537415,0,1,0
6,"professional, scientific and technical services","occupations in social science, government service and religion",0,0,0,172338.43537414967,0,0,0
7,public administration,clerical and supervisor occupations,1,1,0,66284.01360544217,0,1,0
8,manufacturing,natural and applied sciences,0,0,0,119311.22448979592,0,0,0
9,manufacturing,machine operators and assemblers in manufacturing,0,0,0,112682.8231292517,0,0,0
10,construction,other trades,0,0,0,69598.21428571429,0,0,0
11,"finance, insurance, real estate and leasing",professional in business and finance,0,0,0,218737.2448979592,0,1,0
12,trade,"retail salespersons, sales clerks, cashiers",0,0,0,11931.122448979591,1,1,0
13,health care and social assistance,"occupations in social science, government service and religion",1,1,0,92797.61904761904,0,1,0
14,manufacturing,other trades,0,0,0,62969.81292517008,0,0,0
15,"professional, scientific and technical services","occupations in social science, government service and religion",0,0,0,72912.4149659864,0,1,0
16,trade,natural and applied sciences,0,0,0,145824.8299319728,0,0,0
17,trade,"retail salespersons, sales clerks, cashiers",0,0,1,29164.96598639456,0,1,0
18,public administration,clerical and supervisor occupations,1,1,0,89483.41836734694,0,1,0
19,health care and social assistance,"technical, assisting and related in health",1,1,1,59655.61224489796,1,1,0
20,trade,,1,0,0,11599.702380952382,1,0,0
21,manufacturing,middle management,0,0,0,132568.02721088435,0,1,0
22,public administration,natural and applied sciences,1,1,0,49050.17006802721,1,0,0
23,educational services,construction trades,1,1,0,57004.251700680274,0,0,0
24,manufacturing,machine operators and assemblers in manufacturing,1,0,0,79540.81632653062,0,0,0
25,trade,clerical and supervisor occupations,0,0,0,31816.326530612245,0,0,0
26,health care and social assistance,professional in health,1,1,0,112682.8231292517,0,1,0
27,"finance, insurance, real estate and leasing","financial, secretarial and administrative",0,0,0,115997.02380952382,0,1,0
28,accommodation and food services,"chefs and cooks, food and beverage service",0,0,1,43747.44897959184,0,1,0
29,health care and social assistance,clerical and supervisor occupations,0,0,0,55678.57142857144,0,1,0
30,public administration,other trades,1,1,0,66284.01360544217,0,0,0
31,other services,childcare and home support workers,0,0,0,19885.20408163265,0,0,0
32,trade,transport and equipment operators,0,0,0,106054.42176870749,0,0,0
33,manufacturing,machine operators and assemblers in manufacturing,0,0,0,38444.727891156464,0,1,0
34,health care and social assistance,middle management,0,0,1,106054.42176870749,0,1,0
35,public administration,clerical and supervisor occupations,1,1,0,57004.251700680274,0,1,0
36,"professional, scientific and technical services",clerical and supervisor occupations,0,0,0,43747.44897959184,0,1,0
37,trade,"retail salespersons, sales clerks, cashiers",0,0,0,29164.96598639456,0,1,0
38,"finance, insurance, real estate and leasing",natural and applied sciences,0,0,0,102740.22108843538,0,0,0
39,health care and social assistance,"technical, assisting and related in health",0,1,0,89483.41836734694,0,1,0
40,trade,"retail salespersons, sales clerks, cashiers",1,0,0,19222.363945578232,1,1,0
41,health care and social assistance,construction trades,1,1,0,72912.4149659864,0,0,0
42,construction,"financial, secretarial and administrative",0,0,0,23862.244897959183,1,1,0
43,public administration,occupation in protective services,1,1,0,119311.22448979592,0,1,0
44,"professional, scientific and technical services",clerical and supervisor occupations,0,0,0,22536.56462585034,1,1,0
45,"business, building and other support services","occupations in social science, government service and religion",0,0,0,99426.02040816328,0,1,0
46,trade,"retail salespersons, sales clerks, cashiers",1,0,0,53027.21088435374,0,0,0
47,educational services,"occupations in art, culture, recreation and sport",1,1,0,82855.01700680272,0,1,0
48,"forestry, fishing, mining, oil and gas",natural and applied sciences,1,0,0,132568.02721088435,0,0,0
49,manufacturing,clerical and supervisor occupations,0,0,0,19222.363945578232,0,1,0
50,other services,"financial, secretarial and administrative",0,0,0,43747.44897959184,1,1,0
51,trade,professional in business and finance,0,0,0,72912.4149659864,0,1,0
52,"finance, insurance, real estate and leasing","financial, secretarial and administrative",0,0,0,69598.21428571429,0,0,0
53,trade,,0,0,0,278392.8571428572,0,0,0
54,transportation and warehousing,clerical and supervisor occupations,1,1,0,38444.727891156464,0,1,0
55,health care and social assistance,"occupations in social science, government service and religion",1,1,0,102740.22108843538,0,1,0
56,manufacturing,"wholesale, technical, insurance, real estate sales specialists",0,0,0,29164.96598639456,0,1,0
57,health care and social assistance,professional in health,1,1,0,92797.61904761904,0,1,0
58,educational services,"occupations in art, culture, recreation and sport",0,0,0,15908.163265306122,1,1,0
59,other services,,0,0,0,13256.802721088436,0,1,0
60,trade,"occupations in art, culture, recreation and sport",0,0,0,34467.68707482993,0,0,0
61,educational services,teachers and professors,1,1,0,96111.81972789115,0,0,0
62,transportation and warehousing,other trades,0,0,0,27839.28571428572,0,0,0
63,manufacturing,machine operators and assemblers in manufacturing,0,0,0,55678.57142857144,0,0,0
64,"finance, insurance, real estate and leasing",clerical and supervisor occupations,0,0,0,33142.00680272109,0,0,0
65,accommodation and food services,"chefs and cooks, food and beverage service",0,0,0,30490.6462585034,0,1,0
66,"finance, insurance, real estate and leasing",clerical and supervisor occupations,0,0,0,60981.292517006805,0,0,0
67,health care and social assistance,"technical, assisting and related in health",1,1,0,29164.96598639456,0,1,0
68,health care and social assistance,"occupations in social science, government service and religion",1,1,0,59655.61224489796,0,0,0
69,"business, building and other support services",other trades,0,0,1,76226.6156462585,0,0,0
70,trade,clerical and supervisor occupations,0,0,0,24525.08503401361,0,1,0
71,educational services,teachers and professors,1,1,0,145824.8299319728,0,1,0
72,educational services,teachers and professors,1,1,1,115997.02380952382,0,1,1
73,public administration,"financial, secretarial and administrative",0,1,1,72912.4149659864,0,1,0
74,trade,,0,0,0,37119.04761904762,0,1,0
75,educational services,"financial, secretarial and administrative",1,1,0,63632.65306122449,0,1,0
76,"information, culture and recreation",clerical and supervisor occupations,0,0,0,89483.41836734694,0,1,0
77,"forestry, fishing, mining, oil and gas",occupations unique to primary industry,1,0,0,122625.42517006805,0,0,0
78,health care and social assistance,"technical, assisting and related in health",0,1,0,92797.61904761904,0,1,0
79,manufacturing,natural and applied sciences,1,0,0,129253.82653061223,0,1,0
80,other services,childcare and home support workers,1,0,0,57004.251700680274,0,1,0
81,manufacturing,machine operators and assemblers in manufacturing,0,0,0,122625.42517006805,0,0,0
82,construction,construction trades,1,0,0,125939.62585034016,0,0,0
83,health care and social assistance,,0,1,0,54352.89115646259,0,1,0
84,manufacturing,other trades,0,0,0,106054.42176870749,0,0,0
85,accommodation and food services,occupation in protective services,0,1,0,49050.17006802721,0,1,0
86,"finance, insurance, real estate and leasing",transport and equipment operators,0,0,0,76226.6156462585,0,0,0
87,"professional, scientific and technical services","financial, secretarial and administrative",0,0,0,58329.93197278912,0,1,0
88,health care and social assistance,clerical and supervisor occupations,1,1,0,66284.01360544217,0,1,0
89,public administration,natural and applied sciences,1,1,0,119311.22448979592,0,0,0
90,"finance, insurance, real estate and leasing","financial, secretarial and administrative",0,0,0,10274.022108843536,0,0,0
91,utilities,other trades,1,1,0,96111.81972789115,0,0,0
92,transportation and warehousing,transport and equipment operators,1,0,0,86169.21768707484,0,0,0
93,health care and social assistance,"technical, assisting and related in health",0,1,0,86169.21768707484,0,1,0
94,manufacturing,clerical and supervisor occupations,0,0,0,41096.08843537415,0,1,0
95,transportation and warehousing,transport and equipment operators,0,0,0,54352.89115646259,0,0,0
96,trade,clerical and supervisor occupations,0,0,0,38444.727891156464,0,1,0
97,health care and social assistance,"technical, assisting and related in health",1,0,0,29164.96598639456,1,1,0
98,"forestry, fishing, mining, oil and gas",occupations unique to primary industry,0,0,1,76226.6156462585,0,0,0
99,accommodation and food services,,0,0,0,21873.72448979592,1,0,0
100,trade,middle management,0,0,0,82855.01700680272,0,0,0
101,health care and social assistance,middle management,0,0,1,132568.02721088435,0,0,0
102,health care and social assistance,"occupations in social science, government service and religion",1,1,1,72912.4149659864,0,1,1
103,manufacturing,other trades,0,0,0,59655.61224489796,0,1,0
104,accommodation and food services,,0,0,0,20548.044217687075,0,1,0
105,health care and social assistance,professional in health,1,1,0,112682.8231292517,0,1,0
106,"information, culture and recreation",,0,1,0,26513.60544217687,1,0,0
107,utilities,"financial, secretarial and administrative",1,1,1,60981.292517006805,0,1,1
108,trade,other trades,0,0,0,30490.6462585034,0,0,0
109,construction,other trades,1,0,0,109368.6224489796,0,0,0
110,"professional, scientific and technical services",middle management,0,0,0,245250.8503401361,0,1,0
111,health care and social assistance,professional in health,1,1,0,63632.65306122449,1,1,0
112,manufacturing,machine operators and assemblers in manufacturing,0,0,0,59655.61224489796,0,0,0
113,educational services,teachers and professors,1,1,0,96111.81972789115,0,1,0
114,manufacturing,transport and equipment operators,0,0,0,50375.85034013606,0,0,0
115,health care and social assistance,,1,0,0,34467.68707482993,0,1,0
116,construction,construction trades,0,0,1,26513.60544217687,0,0,1
117,educational services,middle management,1,0,0,139196.42857142858,0,0,0
118,public administration,"financial, secretarial and administrative",1,1,0,96111.81972789115,0,1,0
119,"finance, insurance, real estate and leasing",clerical and supervisor occupations,0,0,0,62306.97278911565,0,1,0
120,health care and social assistance,middle management,0,0,0,76226.6156462585,0,1,0
121,transportation and warehousing,transport and equipment operators,1,1,0,49050.17006802721,0,0,0
122,other services,clerical and supervisor occupations,0,0,0,57004.251700680274,0,1,0
123,utilities,"financial, secretarial and administrative",1,1,0,145824.8299319728,0,0,0
124,manufacturing,middle management,0,0,0,79540.81632653062,0,1,0
125,"finance, insurance, real estate and leasing",middle management,0,0,0,50375.85034013606,0,1,0
126,public administration,"chefs and cooks, food and beverage service",1,1,0,86169.21768707484,0,0,0
127,health care and social assistance,professional in health,0,1,0,159081.63265306124,0,1,0
128,"forestry, fishing, mining, oil and gas",natural and applied sciences,0,0,0,79540.81632653062,0,0,0
129,"business, building and other support services",,0,0,0,72912.4149659864,0,1,0
130,educational services,"financial, secretarial and administrative",1,1,0,47724.48979591837,0,1,0
131,public administration,clerical and supervisor occupations,1,1,0,26513.60544217687,0,1,0
132,"information, culture and recreation","occupations in art, culture, recreation and sport",0,0,1,55678.57142857144,0,0,1
133,health care and social assistance,middle management,0,0,0,42421.768707483,0,1,0
134,health care and social assistance,middle management,0,1,0,66284.01360544217,0,1,0
135,health care and social assistance,middle management,0,0,0,69598.21428571429,0,1,0
136,public administration,middle management,1,1,0,152453.231292517,0,1,0
137,"finance, insurance, real estate and leasing","wholesale, technical, insurance, real estate sales specialists",0,0,0,66284.01360544217,0,0,0
138,"information, culture and recreation","chefs and cooks, food and beverage service",1,1,0,11268.28231292517,0,0,0
139,health care and social assistance,clerical and supervisor occupations,1,1,0,31816.326530612245,1,1,0
140,trade,transport and equipment operators,0,0,0,57004.251700680274,0,0,0
141,trade,"occupations in art, culture, recreation and sport",0,0,0,25187.92517006803,0,1,0
142,other services,"occupations in art, culture, recreation and sport",0,0,0,112682.8231292517,0,1,0
143,"information, culture and recreation",clerical and supervisor occupations,0,0,0,60981.292517006805,0,0,0
144,public administration,occupation in protective services,1,1,0,82855.01700680272,0,0,0
145,transportation and warehousing,clerical and supervisor occupations,0,0,0,62306.97278911565,0,1,0
146,health care and social assistance,"financial, secretarial and administrative",0,1,0,62969.81292517008,0,1,0
147,"finance, insurance, real estate and leasing","retail salespersons, sales clerks, cashiers",0,0,0,102740.22108843538,0,0,0
148,trade,,0,0,0,15245.3231292517,0,0,0
149,trade,"wholesale, technical, insurance, real estate sales specialists",0,0,1,20548.044217687075,0,0,1
150,"finance, insurance, real estate and leasing",professional in business and finance,0,0,0,79540.81632653062,0,0,0
151,trade,"wholesale, technical, insurance, real estate sales specialists",0,0,0,50375.85034013606,0,0,0
152,health care and social assistance,"occupations in social science, government service and religion",1,1,1,72912.4149659864,0,1,0
153,trade,"trades helpers, construction, and transportation labourers",0,0,1,33142.00680272109,0,0,0
154,trade,middle management,0,0,0,76226.6156462585,0,0,0
155,health care and social assistance,"occupations in social science, government service and religion",0,1,0,62306.97278911565,0,1,0
156,health care and social assistance,"technical, assisting and related in health",1,1,0,45073.12925170068,0,1,0
157,"information, culture and recreation",,0,0,1,5435.289115646258,1,1,0
158,construction,construction trades,0,0,0,33142.00680272109,0,0,0
159,public administration,clerical and supervisor occupations,0,1,0,72912.4149659864,0,1,0
160,construction,other trades,0,0,1,53027.21088435374,0,0,0
161,manufacturing,clerical and supervisor occupations,0,0,0,55678.57142857144,0,1,0
162,"business, building and other support services",,0,0,1,79540.81632653062,0,0,0
163,educational services,teachers and professors,1,1,0,122625.42517006805,0,0,0
164,"information, culture and recreation",other trades,1,1,0,39770.40816326531,1,0,0
165,manufacturing,middle management,0,0,0,132568.02721088435,0,0,0
166,"information, culture and recreation",,0,0,0,7954.081632653061,0,0,0
167,health care and social assistance,middle management,1,1,0,89483.41836734694,0,1,0
168,manufacturing,other trades,0,0,0,86169.21768707484,0,0,0
169,"information, culture and recreation",professional in business and finance,0,0,0,212108.84353741497,0,0,0
170,"professional, scientific and technical services","financial, secretarial and administrative",0,0,0,60981.292517006805,0,1,0
171,trade,clerical and supervisor occupations,0,0,0,29164.96598639456,0,0,0
172,trade,"retail salespersons, sales clerks, cashiers",0,0,0,139196.42857142858,0,0,0
173,manufacturing,machine operators and assemblers in manufacturing,0,0,0,106054.42176870749,0,0,0
174,manufacturing,natural and applied sciences,0,0,0,66284.01360544217,0,0,0
175,"professional, scientific and technical services",natural and applied sciences,0,0,0,132568.02721088435,0,0,0
176,manufacturing,clerical and supervisor occupations,0,0,0,42421.768707483,0,1,0
177,health care and social assistance,"technical, assisting and related in health",1,1,0,49050.17006802721,1,1,0
178,trade,"retail salespersons, sales clerks, cashiers",1,0,0,16571.003401360544,1,1,0
179,manufacturing,"trades helpers, construction, and transportation labourers",0,0,0,23862.244897959183,0,0,0
180,utilities,"trades helpers, construction, and transportation labourers",1,1,0,51701.5306122449,0,0,0
181,public administration,clerical and supervisor occupations,1,1,0,82855.01700680272,0,1,0
182,public administration,natural and applied sciences,0,1,0,109368.6224489796,0,0,0
183,"professional, scientific and technical services","financial, secretarial and administrative",0,0,0,34467.68707482993,0,1,0
184,"professional, scientific and technical services",natural and applied sciences,0,0,0,45073.12925170068,0,0,0
185,manufacturing,middle management,0,0,0,106054.42176870749,0,1,0
186,"forestry, fishing, mining, oil and gas",natural and applied sciences,0,0,0,79540.81632653062,0,0,0
187,health care and social assistance,"occupations in social science, government service and religion",1,1,0,99426.02040816328,0,1,0
188,public administration,occupation in protective services,1,1,0,152453.231292517,0,0,0
189,health care and social assistance,clerical and supervisor occupations,0,0,0,15908.163265306122,1,1,0
190,educational services,teachers and professors,1,1,0,96111.81972789115,0,0,0
191,,natural and applied sciences,0,0,0,178966.83673469388,0,0,0
192,health care and social assistance,professional in health,0,0,0,79540.81632653062,0,1,0
193,"professional, scientific and technical services",professional in business and finance,0,0,1,76226.6156462585,0,1,0
194,trade,"trades helpers, construction, and transportation labourers",1,0,0,41096.08843537415,0,0,0
195,manufacturing,machine operators and assemblers in manufacturing,0,0,0,89483.41836734694,0,0,0
196,public administration,,1,1,0,172338.43537414967,0,0,0
197,educational services,teachers and professors,1,1,0,89483.41836734694,0,1,0
198,educational services,teachers and professors,0,1,1,119311.22448979592,0,1,0
199,"finance, insurance, real estate and leasing",natural and applied sciences,0,0,0,76226.6156462585,0,0,0
200,"finance, insurance, real estate and leasing","financial, secretarial and administrative",0,0,0,43747.44897959184,0,0,0
201,public administration,clerical and supervisor occupations,1,1,0,66284.01360544217,0,1,0
202,construction,construction trades,0,0,0,51701.5306122449,0,0,0
203,trade,transport and equipment operators,0,0,0,35793.36734693878,0,0,0
204,trade,,0,0,0,21210.884353741498,0,0,0
205,health care and social assistance,professional in health,0,1,0,106054.42176870749,0,1,0
206,transportation and warehousing,transport and equipment operators,1,0,1,112682.8231292517,0,0,0
207,trade,"retail salespersons, sales clerks, cashiers",0,0,0,41096.08843537415,0,0,0
208,manufacturing,clerical and supervisor occupations,0,0,0,50375.85034013606,0,0,0
209,"finance, insurance, real estate and leasing",middle management,0,0,0,46398.80952380953,0,0,0
210,health care and social assistance,clerical and supervisor occupations,0,1,0,60981.292517006805,0,1,0
211,other services,"chefs and cooks, food and beverage service",0,0,0,17233.843537414967,1,1,0
212,"professional, scientific and technical services",natural and applied sciences,0,0,0,31816.326530612245,0,0,0
213,trade,other trades,0,0,1,86169.21768707484,1,0,0
214,trade,clerical and supervisor occupations,0,0,0,33142.00680272109,1,0,0
