,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
avg_salary[industry][0],10.509,0.046,10.419,10.592,0.0,0.0,24900.0,11247.0,1.0
avg_salary[industry][1],10.696,0.105,10.504,10.897,0.001,0.0,39697.0,12048.0,1.0
avg_salary[industry][2],10.747,0.047,10.656,10.833,0.0,0.0,32896.0,13036.0,1.0
avg_salary[industry][3],11.162,0.033,11.1,11.225,0.0,0.0,40432.0,11506.0,1.0
avg_salary[industry][4],11.293,0.026,11.243,11.342,0.0,0.0,42518.0,11115.0,1.0
avg_salary[industry][5],11.178,0.032,11.119,11.239,0.0,0.0,36875.0,11126.0,1.0
avg_salary[industry][6],11.569,0.079,11.421,11.721,0.0,0.0,36675.0,11173.0,1.0
avg_salary[industry][7],11.114,0.023,11.073,11.158,0.0,0.0,34860.0,11340.0,1.0
avg_salary[industry][8],11.183,0.041,11.108,11.262,0.0,0.0,37792.0,11297.0,1.0
avg_salary[industry][9],11.195,0.023,11.151,11.237,0.0,0.0,36682.0,12059.0,1.0
avg_salary[industry][10],10.898,0.046,10.811,10.983,0.0,0.0,38362.0,11597.0,1.0
avg_salary[industry][11],11.361,0.035,11.295,11.426,0.0,0.0,40039.0,11243.0,1.0
avg_salary[industry][12],11.423,0.028,11.369,11.474,0.0,0.0,38476.0,11537.0,1.0
avg_salary[industry][13],10.868,0.022,10.826,10.909,0.0,0.0,40677.0,10433.0,1.0
avg_salary[industry][14],11.064,0.04,10.991,11.141,0.0,0.0,29063.0,12186.0,1.0
avg_salary[industry][15],11.726,0.066,11.607,11.856,0.0,0.0,37502.0,11181.0,1.0
beta_exp[0],0.342,0.043,0.262,0.424,0.0,0.0,26009.0,12825.0,1.0
beta_exp[1],0.19,0.106,-0.015,0.384,0.001,0.0,38805.0,11830.0,1.0
beta_exp[2],0.192,0.047,0.106,0.282,0.0,0.0,32575.0,12318.0,1.0
beta_exp[3],0.235,0.037,0.169,0.307,0.0,0.0,40055.0,11804.0,1.0
beta_exp[4],0.143,0.029,0.088,0.196,0.0,0.0,39667.0,11383.0,1.0
beta_exp[5],0.162,0.032,0.103,0.223,0.0,0.0,38303.0,11963.0,1.0
beta_exp[6],0.178,0.088,0.015,0.345,0.0,0.0,37163.0,11582.0,1.0
beta_exp[7],0.149,0.024,0.103,0.193,0.0,0.0,38484.0,11898.0,1.0
beta_exp[8],0.247,0.045,0.16,0.33,0.0,0.0,38534.0,12123.0,1.0
beta_exp[9],0.213,0.024,0.168,0.258,0.0,0.0,35396.0,12853.0,1.0
beta_exp[10],0.288,0.046,0.204,0.376,0.0,0.0,37347.0,12641.0,1.0
beta_exp[11],0.106,0.042,0.03,0.186,0.0,0.0,38592.0,11140.0,1.0
beta_exp[12],0.099,0.03,0.042,0.156,0.0,0.0,39722.0,11636.0,1.0
beta_exp[13],0.295,0.023,0.251,0.337,0.0,0.0,39451.0,9851.0,1.0
beta_exp[14],0.141,0.037,0.072,0.209,0.0,0.0,28941.0,12517.0,1.0
beta_exp[15],0.051,0.077,-0.094,0.197,0.0,0.001,39320.0,11820.0,1.0
lambda_avg_salary[industry],11.62,2.181,7.986,15.748,0.013,0.011,37674.0,10959.0,1.0
lambda_beta_exp,0.228,0.047,0.147,0.314,0.0,0.0,30522.0,12119.0,1.0
shape,3.423,0.069,3.294,3.552,0.0,0.0,37537.0,11246.0,1.0
