,Unnamed: 0,edu,edu_level,elementary_edu,highschool_edu,postsec_edu,undergrad_edu,graduate_edu,grad_highschool_refyear,grad_college_refyear,grad_univ_refyear,student_status,public_sector,private_sector,lfs,occup,industry,self_emp,union,part_time,major_activity,major_source_inc,multiple_jobs,num_jobs,exp,reason_pt,hourly_wage,hours_paid,months_last_worked,tenure,sex,age,year,weight,salary,firm_size,loc_size
0,2,non-university postsecondary certificate,4,1,1,1,0,0,0,0,0,0,0,1,employed all year,other trades,"information, culture and recreation",0,0,0,working,wages and salaries,1,2,5.0,,27.87039106145252,2190.0,,55.0,0,26.0,1997,332.9975,78385.47486033519,1.0,1.0
1,5,graduated high school,3,1,1,0,0,0,0,0,0,0,0,1,employed all year,clerical and supervisor occupations,trade,0,0,0,working,wages and salaries,1,3,1.0,,14.806145251396648,1955.0,,13.0,0,34.0,1997,317.8111,32225.13966480447,20.0,20.0
2,8,bachelor's degree,5,1,1,0,1,0,0,0,0,0,1,0,employed all year,machine operators and assemblers in manufacturing,utilities,0,1,0,working,wages and salaries,0,1,12.0,,81.10283798882682,2086.0,,138.0,0,34.0,1997,274.8283,62708.37988826816,1000.0,500.0
3,12,non-university postsecondary certificate,4,1,1,1,0,0,0,0,0,0,0,1,employed all year,natural and applied sciences,manufacturing,0,0,0,working,wages and salaries,0,1,13.0,,36.49279329608939,2868.0,,31.0,0,30.0,1997,366.1321,104513.96648044692,20.0,20.0
4,13,some non-university postsecondary (no certificate),3,1,1,0,0,0,0,0,0,0,0,1,employed all year,sales and service,manufacturing,0,0,0,working,wages and salaries,0,1,33.0,,18.28994413407821,2086.0,,28.0,0,50.0,1997,1422.839,40063.68715083799,20.0,20.0
5,14,,0,0,0,0,0,0,0,0,0,0,1,0,employed all year,middle management,health care and social assistance,0,0,0,working,wages and salaries,1,2,9.0,,79.37835754189945,1955.0,,67.0,0,34.0,1997,1498.9656,165480.44692737432,100.0,100.0
6,17,bachelor's degree,5,1,1,0,1,0,0,0,0,0,0,1,"employed part-year, unemployed part-year","retail salespersons, sales clerks, cashiers",trade,0,0,0,working,wages and salaries,0,3,1.0,,11.932011173184357,561.0,,4.0,1,26.0,1997,80.3193,25257.54189944134,1000.0,1.0
7,21,graduated high school,3,1,1,0,0,0,0,0,0,0,0,1,employed all year,machine operators and assemblers in manufacturing,manufacturing,0,0,0,working,wages and salaries,0,1,18.0,,66.88893854748603,2868.0,,97.0,0,37.0,1997,108.9539,130642.45810055868,1000.0,1000.0
8,22,graduated high school,3,1,1,0,0,0,0,0,0,0,0,1,employed all year,machine operators and assemblers in manufacturing,manufacturing,0,0,0,working,wages and salaries,0,1,25.0,,40.13336312849162,2607.0,,17.0,0,41.0,1997,263.2449,100159.21787709495,1000.0,1000.0
9,23,non-university postsecondary certificate,4,1,1,1,0,0,0,0,0,0,1,0,employed all year,occupation in protective services,public administration,0,1,0,working,wages and salaries,0,1,8.0,,34.08897206703911,1339.0,,57.0,1,30.0,1997,140.6501,38321.78770949721,1000.0,100.0
10,24,non-university postsecondary certificate,4,1,1,1,0,0,0,0,0,0,0,1,employed all year,other trades,manufacturing,0,0,0,working,wages and salaries,0,1,29.0,,34.83798882681564,2086.0,,198.0,0,52.0,1997,1102.71,83611.17318435754,1.0,1.0
11,26,non-university postsecondary certificate,4,1,1,1,0,0,0,0,0,0,0,1,employed all year,"wholesale, technical, insurance, real estate sales specialists","information, culture and recreation",0,0,0,working,wages and salaries,0,1,11.0,,48.30287150837989,2346.0,,139.0,1,33.0,1997,136.0183,148061.45251396648,1000.0,100.0
12,28,,0,0,0,0,0,0,0,0,0,0,1,0,employed all year,teachers and professors,educational services,0,1,0,working,wages and salaries,0,1,10.0,,48.91253631284916,2017.0,,124.0,1,35.0,1997,57.5323,104513.96648044692,1000.0,1.0
13,29,non-university postsecondary certificate,4,1,1,1,0,0,0,0,0,0,1,0,employed all year,sales and service,health care and social assistance,0,0,0,working,wages and salaries,0,1,39.0,,25.013675977653637,2086.0,,324.0,1,54.0,1997,253.4393,50515.08379888268,1000.0,1000.0
72,180,bachelor's degree,5,1,1,0,1,0,0,0,0,0,0,1,employed all year,teachers and professors,educational services,0,0,0,working,wages and salaries,1,2,7.0,,33.44446927374302,1825.0,,76.0,1,30.0,1997,895.4445,24386.59217877095,100.0,100.0
73,182,,0,0,0,0,0,0,0,0,0,0,1,0,employed all year,teachers and professors,educational services,0,1,0,working,wages and salaries,0,1,16.0,,42.36299441340783,2346.0,,196.0,1,41.0,1997,67.4918,113223.46368715084,20.0,20.0
74,183,graduated high school,3,1,1,0,0,0,0,0,0,0,0,1,employed all year,"retail salespersons, sales clerks, cashiers",trade,0,0,0,working,wages and salaries,0,1,8.0,,26.75557541899441,1955.0,,87.0,0,28.0,1997,1598.0591,53998.882681564246,1000.0,100.0
75,184,non-university postsecondary certificate,4,1,1,1,0,0,0,0,0,0,1,0,employed all year,middle management,public administration,0,1,0,working,wages and salaries,0,1,17.0,,50.306055865921785,1955.0,,209.0,0,40.0,1997,176.6348,91449.72067039106,1000.0,100.0
76,187,9-10 years of elementary and secondary school,2,1,0,0,0,0,0,0,0,0,0,1,employed all year,sales and service,accommodation and food services,0,0,1,working,wages and salaries,0,1,0.0,only find PT,13.726167597765365,652.0,,26.0,1,17.0,1997,221.5694,9144.972067039103,1.0,1.0
77,188,non-university postsecondary certificate,4,1,1,1,0,0,0,0,0,0,0,1,employed all year,"retail salespersons, sales clerks, cashiers",trade,0,0,1,working,wages and salaries,0,1,20.0,only find PT,12.419743016759776,782.0,,26.0,1,45.0,1997,332.2961,15677.09497206704,1000.0,1.0
78,191,non-university postsecondary certificate,4,1,1,1,0,0,0,0,0,0,1,0,employed all year,teachers and professors,educational services,0,1,1,working,wages and salaries,0,1,0.0,only find PT,34.35025698324022,591.0,,32.0,1,25.0,1997,76.2812,18289.94413407821,20.0,20.0
79,194,non-university postsecondary certificate,4,1,1,1,0,0,0,0,0,0,0,1,employed all year,"retail salespersons, sales clerks, cashiers","professional, scientific and technical services",0,0,0,working,wages and salaries,0,1,11.0,,26.12849162011173,2086.0,,87.0,1,29.0,1997,95.7374,55740.78212290503,1.0,1.0
80,200,graduated high school,3,1,1,0,0,0,0,0,0,0,0,1,employed all year,"chefs and cooks, food and beverage service",accommodation and food services,0,0,0,working,wages and salaries,0,1,3.0,,12.715865921787708,2086.0,,31.0,1,23.0,1997,607.1198,24386.59217877095,1.0,1.0
81,202,non-university postsecondary certificate,4,1,1,1,0,0,0,0,0,0,0,1,employed all year,professional in health,health care and social assistance,0,1,0,working,wages and salaries,0,1,15.0,,49.94025698324023,1955.0,,221.0,1,37.0,1997,537.6322,91449.72067039106,100.0,100.0
