year,lfs,exp,salary,weight,age,ftpt,edu,sex,industry,occup,self_emp,elementary_edu,highschool_edu,postsec_edu,undergrad_edu,graduate_edu,union,student_status,grad_highschool_refyear,grad_college_refyear,grad_univ_refyear,public_sector,multiple_jobs,firm_size,loc_size,tenure,edu_level
2010,employed all year,15.0,54352.89115646259,1175.1411,37.0,full-time,non-university postsecondary certificate,0,construction,middle management,0,1,1,1,0,0,0,0,0,0,0,0,0,20.0,20.0,16.0,4
2010,employed all year,38.0,41096.08843537415,193.5905,58.0,part-time,non-university postsecondary certificate,0,"information, culture and recreation",other trades,0,1,1,1,0,0,1,0,0,0,0,1,0,1000.0,20.0,27.0,4
2010,employed all year,21.0,79540.81632653062,625.2753,38.0,full-time,non-university postsecondary certificate,0,trade,"wholesale, technical, insurance, real estate sales specialists",0,1,1,1,0,0,0,0,0,0,0,0,0,100.0,100.0,28.0,4
2010,employed all year,9.0,19222.363945578232,336.1162,61.0,full-time,non-university postsecondary certificate,1,transportation and warehousing,transport and equipment operators,0,1,1,1,0,0,1,0,0,0,0,0,0,100.0,100.0,84.0,4
2010,employed all year,9.0,39770.40816326531,888.9728,56.0,full-time,bachelor's degree,1,health care and social assistance,"occupations in social science, government service and religion",0,1,1,0,1,0,1,0,0,0,0,0,0,20.0,20.0,104.0,5
2010,employed all year,8.0,41096.08843537415,2151.9305,28.0,full-time,bachelor's degree,1,accommodation and food services,"chefs and cooks, food and beverage service",0,1,1,0,1,0,0,1,0,0,0,0,1,500.0,20.0,12.0,5
2010,employed all year,11.0,172338.43537414967,2117.3853,36.0,full-time,university certificate above bachelor,0,"professional, scientific and technical services","occupations in social science, government service and religion",0,1,1,0,1,1,0,0,0,0,0,0,0,20.0,20.0,54.0,6
2010,employed all year,10.0,66284.01360544217,3252.48,47.0,full-time,non-university postsecondary certificate,1,public administration,clerical and supervisor occupations,0,1,1,1,0,0,1,0,0,0,0,1,0,1000.0,1000.0,112.0,4
2010,employed all year,7.0,119311.22448979592,4206.1039,31.0,full-time,bachelor's degree,0,manufacturing,natural and applied sciences,0,1,1,0,1,0,0,0,0,0,0,0,0,1000.0,1000.0,25.0,5
2010,employed all year,33.0,112682.8231292517,2870.894,52.0,full-time,non-university postsecondary certificate,0,manufacturing,machine operators and assemblers in manufacturing,0,1,1,1,0,0,0,0,0,0,0,0,0,1000.0,500.0,261.0,4
2010,employed all year,10.0,69598.21428571429,1510.8995,53.0,full-time,non-university postsecondary certificate,0,construction,other trades,0,1,1,1,0,0,0,0,0,0,0,0,0,1.0,1.0,67.0,4
2010,employed all year,16.0,218737.2448979592,3066.3465,43.0,full-time,bachelor's degree,1,"finance, insurance, real estate and leasing",professional in business and finance,0,1,1,0,1,0,0,0,0,0,0,0,0,500.0,20.0,48.0,5
2010,employed all year,0.0,11931.122448979593,2272.7699,23.0,part-time,some non-university postsecondary (no certificate),1,trade,"retail salespersons, sales clerks, cashiers",0,1,1,0,0,0,0,1,0,0,0,0,0,100.0,1.0,24.0,3
2010,employed all year,20.0,92797.61904761905,614.6337,50.0,full-time,non-university postsecondary certificate,1,health care and social assistance,"occupations in social science, government service and religion",0,1,1,1,0,0,1,0,0,0,0,1,0,20.0,20.0,19.0,4
2010,employed all year,15.0,62969.812925170074,1877.2526,34.0,full-time,non-university postsecondary certificate,0,manufacturing,other trades,0,1,1,1,0,0,0,0,0,0,0,0,0,100.0,100.0,136.0,4
