id_run,model_name,model_def,variable,type,element,dims,level
1,level1,level1,avg_salary,parameter,intercept,industry,1
1,level1,level1,elementary_edu,parameter,slope,industry,1
1,level1,level1,highschool_edu,parameter,slope,industry,1
1,level1,level1,postsec_edu,parameter,slope,industry,1
1,level1,level1,undergrad_edu,parameter,slope,industry,1
1,level1,level1,graduate_edu,parameter,slope,industry,1
1,level1,level1,grad_highschool_refyear,parameter,slope,industry,1
1,level1,level1,grad_college_refyear,parameter,slope,industry,1
1,level1,level1,grad_univ_refyear,parameter,slope,industry,1
1,level1,level1,student_status,parameter,slope,industry,1
1,level1,level1,public_sector,parameter,slope,industry,1
1,level1,level1,private_sector,parameter,slope,industry,1
1,level1,level1,self_emp,parameter,slope,industry,1
1,level1,level1,union,parameter,slope,industry,1
1,level1,level1,part_time,parameter,slope,industry,1
1,level1,level1,exp,parameter,slope,industry,1
1,level1,level1,tenure,parameter,slope,industry,1
1,level1,level1,sex,parameter,slope,industry,1
1,level1,level1,age,parameter,slope,industry,1
1,level1,level1,firm_size,parameter,slope,industry,1
1,level1,level1,loc_size,parameter,slope,industry,1
1,level1,level1,salary,target,target,obs,
1,level1,level1,industry,dimension,dimension,industry,
