
# Surface 0 of 1 surfaces

# Curve title: ""hmc_contourtmp1.dat""

# Contour 0, label:     -0.1
-0.166674  1.50997 -0.1 
-0.217873  1.49999 -0.1 
-0.33334  1.48334 -0.1 
-0.500006  1.43971 -0.1 
-0.666672  1.36736 -0.1 
-0.724636  1.33332 -0.1 
-0.833338  1.27371 -0.1 
-0.971895  1.16665 -0.1 
-1  1.14355 -0.1 
-1.14357  0.999988 -0.1 
-1.16667  0.971872 -0.1 
-1.27372  0.833322 -0.1 
-1.33334  0.724616 -0.1 
-1.36737  0.666656 -0.1 
-1.43972  0.49999 -0.1 
-1.48335  0.333324 -0.1 
-1.5  0.217831 -0.1 
-1.50999  0.166658 -0.1 
-1.52089 -8.3e-06 -0.1 
-1.50999 -0.166674 -0.1 
-1.5 -0.217847 -0.1 
-1.48335 -0.33334 -0.1 
-1.43972 -0.500006 -0.1 
-1.36737 -0.666672 -0.1 
-1.33334 -0.724626 -0.1 
-1.27371 -0.833338 -0.1 
-1.16667 -0.971877 -0.1 
-1.14356 -1 -0.1 
-1 -1.14356 -0.1 
-0.971877 -1.16667 -0.1 
-0.833338 -1.27371 -0.1 
-0.724626 -1.33334 -0.1 
-0.666672 -1.36737 -0.1 
-0.500006 -1.43972 -0.1 
-0.33334 -1.48335 -0.1 
-0.217847 -1.5 -0.1 
-0.166674 -1.50999 -0.1 
-8.3e-06 -1.52089 -0.1 
 0.166658 -1.50999 -0.1 
 0.217831 -1.5 -0.1 
 0.333324 -1.48335 -0.1 
 0.49999 -1.43972 -0.1 
 0.666656 -1.36737 -0.1 
 0.724616 -1.33334 -0.1 
 0.833322 -1.27372 -0.1 
 0.971872 -1.16667 -0.1 
 0.999988 -1.14357 -0.1 
 1.14355 -1 -0.1 
 1.16665 -0.971895 -0.1 
 1.27371 -0.833338 -0.1 
 1.33332 -0.724636 -0.1 
 1.36736 -0.666672 -0.1 
 1.43971 -0.500006 -0.1 
 1.48334 -0.33334 -0.1 
 1.49999 -0.217873 -0.1 
 1.50997 -0.166674 -0.1 
 1.52088 -8.3e-06 -0.1 
 1.50997  0.166658 -0.1 
 1.49999  0.217856 -0.1 
 1.48334  0.333324 -0.1 
 1.43971  0.49999 -0.1 
 1.36736  0.666656 -0.1 
 1.33332  0.724626 -0.1 
 1.27371  0.833322 -0.1 
 1.16665  0.971891 -0.1 
 1.14356  0.999988 -0.1 
 0.999988  1.14356 -0.1 
 0.971891  1.16665 -0.1 
 0.833322  1.27371 -0.1 
 0.724626  1.33332 -0.1 
 0.666656  1.36736 -0.1 
 0.49999  1.43971 -0.1 
 0.333324  1.48334 -0.1 
 0.217856  1.49999 -0.1 
 0.166658  1.50997 -0.1 
-8.3e-06  1.52088 -0.1 
-0.166674  1.50997 -0.1 


# Contour 1, label:     -0.2
-0.33334  1.2294 -0.2 
-0.498049  1.16665 -0.2 
-0.500006  1.16598 -0.2 
-0.666672  1.08355 -0.2 
-0.781321  0.999988 -0.2 
-0.833338  0.95867 -0.2 
-0.958687  0.833322 -0.2 
-1  0.781305 -0.2 
-1.08357  0.666656 -0.2 
-1.166  0.49999 -0.2 
-1.16667  0.498032 -0.2 
-1.22942  0.333324 -0.2 
-1.26343  0.166658 -0.2 
-1.27424 -8.3e-06 -0.2 
-1.26343 -0.166674 -0.2 
-1.22942 -0.33334 -0.2 
-1.16667 -0.498049 -0.2 
-1.166 -0.500006 -0.2 
-1.08357 -0.666672 -0.2 
-1 -0.781321 -0.2 
-0.958687 -0.833338 -0.2 
-0.833338 -0.958687 -0.2 
-0.781321 -1 -0.2 
-0.666672 -1.08357 -0.2 
-0.500006 -1.166 -0.2 
-0.498049 -1.16667 -0.2 
-0.33334 -1.22942 -0.2 
-0.166674 -1.26343 -0.2 
-8.3e-06 -1.27424 -0.2 
 0.166658 -1.26343 -0.2 
 0.333324 -1.22942 -0.2 
 0.498032 -1.16667 -0.2 
 0.49999 -1.166 -0.2 
 0.666656 -1.08357 -0.2 
 0.781305 -1 -0.2 
 0.833322 -0.958687 -0.2 
 0.95867 -0.833338 -0.2 
 0.999988 -0.781321 -0.2 
 1.08355 -0.666672 -0.2 
 1.16598 -0.500006 -0.2 
 1.16665 -0.498049 -0.2 
 1.2294 -0.33334 -0.2 
 1.26341 -0.166674 -0.2 
 1.27422 -8.3e-06 -0.2 
 1.26341  0.166658 -0.2 
 1.2294  0.333324 -0.2 
 1.16665  0.498032 -0.2 
 1.16598  0.49999 -0.2 
 1.08355  0.666656 -0.2 
 0.999988  0.781305 -0.2 
 0.95867  0.833322 -0.2 
 0.833322  0.95867 -0.2 
 0.781305  0.999988 -0.2 
 0.666656  1.08355 -0.2 
 0.49999  1.16598 -0.2 
 0.498032  1.16665 -0.2 
 0.333324  1.2294 -0.2 
 0.166658  1.26341 -0.2 
-8.3e-06  1.27422 -0.2 
-0.166674  1.26341 -0.2 
-0.33334  1.2294 -0.2 


# Contour 2, label:     -0.3
-0.33334  1.04886 -0.3 
-0.44756  0.999988 -0.3 
-0.500006  0.978119 -0.3 
-0.666672  0.873209 -0.3 
-0.714163  0.833322 -0.3 
-0.833338  0.714147 -0.3 
-0.873226  0.666656 -0.3 
-0.978136  0.49999 -0.3 
-1  0.447543 -0.3 
-1.04888  0.333324 -0.3 
-1.0889  0.166658 -0.3 
-1.10144 -8.3e-06 -0.3 
-1.0889 -0.166674 -0.3 
-1.04877 -0.33334 -0.3 
-1 -0.447449 -0.3 
-0.978136 -0.500006 -0.3 
-0.873226 -0.666672 -0.3 
-0.833338 -0.714163 -0.3 
-0.714163 -0.833338 -0.3 
-0.666672 -0.873226 -0.3 
-0.500006 -0.978136 -0.3 
-0.447449 -1 -0.3 
-0.33334 -1.04877 -0.3 
-0.166674 -1.0889 -0.3 
-8.3e-06 -1.10144 -0.3 
 0.166658 -1.0889 -0.3 
 0.333324 -1.04888 -0.3 
 0.447543 -1 -0.3 
 0.49999 -0.978136 -0.3 
 0.666656 -0.873226 -0.3 
 0.714147 -0.833338 -0.3 
 0.833322 -0.714163 -0.3 
 0.873209 -0.666672 -0.3 
 0.978119 -0.500006 -0.3 
 0.999988 -0.44756 -0.3 
 1.04886 -0.33334 -0.3 
 1.08888 -0.166674 -0.3 
 1.10148 -8.3e-06 -0.3 
 1.08888  0.166658 -0.3 
 1.04886  0.333324 -0.3 
 0.999988  0.447543 -0.3 
 0.978119  0.49999 -0.3 
 0.873209  0.666656 -0.3 
 0.833322  0.714147 -0.3 
 0.714147  0.833322 -0.3 
 0.666656  0.873209 -0.3 
 0.49999  0.978119 -0.3 
 0.447543  0.999988 -0.3 
 0.333324  1.04886 -0.3 
 0.166658  1.08888 -0.3 
-8.3e-06  1.10148 -0.3 
-0.166674  1.08888 -0.3 
-0.33334  1.04886 -0.3 


# Contour 3, label:     -0.4
-0.33334  0.899773 -0.4 
-0.468319  0.833322 -0.4 
-0.500006  0.816705 -0.4 
-0.666672  0.687164 -0.4 
-0.687181  0.666656 -0.4 
-0.816722  0.49999 -0.4 
-0.833338  0.468303 -0.4 
-0.899789  0.333324 -0.4 
-0.945092  0.166658 -0.4 
-0.959298 -8.3e-06 -0.4 
-0.945092 -0.166674 -0.4 
-0.899739 -0.33334 -0.4 
-0.833338 -0.468319 -0.4 
-0.816722 -0.500006 -0.4 
-0.687181 -0.666672 -0.4 
-0.666672 -0.687181 -0.4 
-0.500006 -0.816722 -0.4 
-0.468319 -0.833338 -0.4 
-0.33334 -0.899739 -0.4 
-0.166674 -0.945092 -0.4 
-8.3e-06 -0.959298 -0.4 
 0.166658 -0.945092 -0.4 
 0.333324 -0.899789 -0.4 
 0.468303 -0.833338 -0.4 
 0.49999 -0.816722 -0.4 
 0.666656 -0.687181 -0.4 
 0.687164 -0.666672 -0.4 
 0.816705 -0.500006 -0.4 
 0.833322 -0.468319 -0.4 
 0.899773 -0.33334 -0.4 
 0.945114 -0.166674 -0.4 
 0.959386 -8.3e-06 -0.4 
 0.945114  0.166658 -0.4 
 0.899773  0.333324 -0.4 
 0.833322  0.468303 -0.4 
 0.816705  0.49999 -0.4 
 0.687164  0.666656 -0.4 
 0.666656  0.687164 -0.4 
 0.49999  0.816705 -0.4 
 0.468303  0.833322 -0.4 
 0.333324  0.899773 -0.4 
 0.166658  0.945114 -0.4 
-8.3e-06  0.959386 -0.4 
-0.166674  0.945114 -0.4 
-0.33334  0.899773 -0.4 


# Contour 4, label:     -0.5
-0.33334  0.763604 -0.5 
-0.498707  0.666656 -0.5 
-0.500006  0.665754 -0.5 
-0.665771  0.49999 -0.5 
-0.666672  0.498691 -0.5 
-0.763621  0.333324 -0.5 
-0.816096  0.166658 -0.5 
-0.832657 -8.3e-06 -0.5 
-0.816096 -0.166674 -0.5 
-0.763621 -0.33334 -0.5 
-0.666672 -0.498707 -0.5 
-0.665771 -0.500006 -0.5 
-0.500006 -0.665771 -0.5 
-0.498707 -0.666672 -0.5 
-0.33334 -0.763621 -0.5 
-0.166674 -0.816096 -0.5 
-8.3e-06 -0.832657 -0.5 
 0.166658 -0.816096 -0.5 
 0.333324 -0.763621 -0.5 
 0.498691 -0.666672 -0.5 
 0.49999 -0.665771 -0.5 
 0.665754 -0.500006 -0.5 
 0.666656 -0.498707 -0.5 
 0.763604 -0.33334 -0.5 
 0.816177 -0.166674 -0.5 
 0.832641 -8.3e-06 -0.5 
 0.816177  0.166658 -0.5 
 0.763604  0.333324 -0.5 
 0.666656  0.498691 -0.5 
 0.665754  0.49999 -0.5 
 0.49999  0.665754 -0.5 
 0.498691  0.666656 -0.5 
 0.333324  0.763604 -0.5 
 0.166658  0.816177 -0.5 
-8.3e-06  0.832641 -0.5 
-0.166674  0.816177 -0.5 
-0.33334  0.763604 -0.5 


# Contour 5, label:     -0.6
-0.166674  0.695352 -0.6 
-0.245983  0.666656 -0.6 
-0.33334  0.631275 -0.6 
-0.500006  0.510311 -0.6 
-0.510328  0.49999 -0.6 
-0.631291  0.333324 -0.6 
-0.666672  0.245967 -0.6 
-0.69535  0.166658 -0.6 
-0.715146 -8.3e-06 -0.6 
-0.69535 -0.166674 -0.6 
-0.666672 -0.245983 -0.6 
-0.631291 -0.33334 -0.6 
-0.510328 -0.500006 -0.6 
-0.500006 -0.510328 -0.6 
-0.33334 -0.631291 -0.6 
-0.245983 -0.666672 -0.6 
-0.166674 -0.69535 -0.6 
-8.3e-06 -0.715146 -0.6 
 0.166658 -0.69535 -0.6 
 0.245967 -0.666672 -0.6 
 0.333324 -0.631291 -0.6 
 0.49999 -0.510328 -0.6 
 0.510311 -0.500006 -0.6 
 0.631275 -0.33334 -0.6 
 0.666656 -0.245983 -0.6 
 0.695352 -0.166674 -0.6 
 0.715204 -8.3e-06 -0.6 
 0.695352  0.166658 -0.6 
 0.666656  0.245967 -0.6 
 0.631275  0.333324 -0.6 
 0.510311  0.49999 -0.6 
 0.49999  0.510311 -0.6 
 0.333324  0.631275 -0.6 
 0.245967  0.666656 -0.6 
 0.166658  0.695352 -0.6 
-8.3e-06  0.715204 -0.6 
-0.166674  0.695352 -0.6 


# Contour 6, label:     -0.7
-0.166674  0.571697 -0.7 
-0.32527  0.49999 -0.7 
-0.33334  0.495286 -0.7 
-0.495303  0.333324 -0.7 
-0.500006  0.325253 -0.7 
-0.571714  0.166658 -0.7 
-0.595579 -8.3e-06 -0.7 
-0.571714 -0.166674 -0.7 
-0.500006 -0.32527 -0.7 
-0.495303 -0.33334 -0.7 
-0.33334 -0.495303 -0.7 
-0.32527 -0.500006 -0.7 
-0.166674 -0.571714 -0.7 
-8.3e-06 -0.595579 -0.7 
 0.166658 -0.571714 -0.7 
 0.325253 -0.500006 -0.7 
 0.333324 -0.495303 -0.7 
 0.495286 -0.33334 -0.7 
 0.49999 -0.32527 -0.7 
 0.571697 -0.166674 -0.7 
 0.595625 -8.3e-06 -0.7 
 0.571697  0.166658 -0.7 
 0.49999  0.325253 -0.7 
 0.495286  0.333324 -0.7 
 0.333324  0.495286 -0.7 
 0.325253  0.49999 -0.7 
 0.166658  0.571697 -0.7 
-8.3e-06  0.595625 -0.7 
-0.166674  0.571697 -0.7 


# Contour 7, label:     -0.8
-0.33334  0.334752 -0.8 
-0.334769  0.333324 -0.8 
-0.437396  0.166658 -0.8 
-0.46981 -8.3e-06 -0.8 
-0.437396 -0.166674 -0.8 
-0.334769 -0.33334 -0.8 
-0.33334 -0.334769 -0.8 
-0.166674 -0.437396 -0.8 
-8.3e-06 -0.46981 -0.8 
 0.166658 -0.437396 -0.8 
 0.333324 -0.334769 -0.8 
 0.334752 -0.33334 -0.8 
 0.437379 -0.166674 -0.8 
 0.469794 -8.3e-06 -0.8 
 0.437379  0.166658 -0.8 
 0.334752  0.333324 -0.8 
 0.333324  0.334752 -0.8 
 0.166658  0.437379 -0.8 
-8.3e-06  0.469794 -0.8 
-0.166674  0.437379 -0.8 
-0.33334  0.334752 -0.8 


# Contour 8, label:     -0.9
-0.166674  0.268306 -0.9 
-0.268322  0.166658 -0.9 
-0.322632 -8.3e-06 -0.9 
-0.268322 -0.166674 -0.9 
-0.166674 -0.268322 -0.9 
-8.3e-06 -0.322632 -0.9 
 0.166658 -0.268322 -0.9 
 0.268306 -0.166674 -0.9 
 0.322615 -8.3e-06 -0.9 
 0.268306  0.166658 -0.9 
 0.166658  0.268306 -0.9 
-8.3e-06  0.322615 -0.9 
-0.166674  0.268306 -0.9 

